"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","top","postVar","treated"
"64",32,"Bundesliga","2008/2009",2008-09-13,"Stuttgart",0,0,24,16,4,0,"D",0,"AwayTeam","2008-09",0,1,0,1
"65",33,"Bundesliga","2008/2009",2008-09-13,"Werder Bremen",3,0,17,31,0,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"66",33,"Bundesliga","2008/2009",2008-09-13,"Cottbus",0,3,31,17,2,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"67",34,"Bundesliga","2008/2009",2008-09-14,"Bochum",2,0,22,16,2,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"68",34,"Bundesliga","2008/2009",2008-09-14,"Bielefeld",0,2,16,22,0,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"69",35,"Bundesliga","2008/2009",2008-09-14,"Hannover",5,1,16,16,3,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"70",35,"Bundesliga","2008/2009",2008-09-14,"M'gladbach",1,5,16,16,4,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"71",36,"Bundesliga","2008/2009",2008-09-19,"Leverkusen",4,0,17,12,0,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"72",36,"Bundesliga","2008/2009",2008-09-19,"Hannover",0,4,12,17,3,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"73",37,"Bundesliga","2008/2009",2008-09-20,"Bayern Munich",2,5,18,17,1,0,"L",0,"HomeTeam","2008-09",1,1,0,1
"74",37,"Bundesliga","2008/2009",2008-09-20,"Werder Bremen",5,2,17,18,2,0,"W",0,"AwayTeam","2008-09",0,0,0,1
"75",38,"Bundesliga","2008/2009",2008-09-20,"Bielefeld",2,0,14,24,0,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"76",38,"Bundesliga","2008/2009",2008-09-20,"FC Koln",0,2,24,14,3,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"77",39,"Bundesliga","2008/2009",2008-09-20,"Cottbus",1,1,22,26,2,0,"D",0,"HomeTeam","2008-09",1,0,0,1
"78",39,"Bundesliga","2008/2009",2008-09-20,"Bochum",1,1,26,22,4,0,"D",0,"AwayTeam","2008-09",0,0,0,1
"79",40,"Bundesliga","2008/2009",2008-09-20,"M'gladbach",0,1,12,20,0,0,"L",0,"HomeTeam","2008-09",1,0,0,1
"80",40,"Bundesliga","2008/2009",2008-09-20,"Hertha",1,0,20,12,2,0,"W",0,"AwayTeam","2008-09",0,0,0,1
"81",41,"Bundesliga","2008/2009",2008-09-20,"Schalke 04",1,0,17,17,0,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"82",41,"Bundesliga","2008/2009",2008-09-20,"Ein Frankfurt",0,1,17,17,3,1,"L",0,"AwayTeam","2008-09",0,0,0,1
"83",42,"Bundesliga","2008/2009",2008-09-21,"Hoffenheim",4,1,15,23,0,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"84",42,"Bundesliga","2008/2009",2008-09-21,"Dortmund",1,4,23,15,1,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"85",43,"Bundesliga","2008/2009",2008-09-21,"Stuttgart",3,1,18,19,2,0,"W",0,"HomeTeam","2008-09",1,1,0,1
"86",43,"Bundesliga","2008/2009",2008-09-21,"Karlsruhe",1,3,19,18,3,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"87",44,"Bundesliga","2008/2009",2008-09-21,"Wolfsburg",3,0,20,23,2,0,"W",0,"HomeTeam","2008-09",1,1,0,1
"88",44,"Bundesliga","2008/2009",2008-09-21,"Hamburg",0,3,23,20,3,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"89",45,"Bundesliga","2008/2009",2008-09-26,"FC Koln",1,0,15,17,2,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"90",45,"Bundesliga","2008/2009",2008-09-26,"Schalke 04",0,1,17,15,3,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"91",46,"Bundesliga","2008/2009",2008-09-27,"Bochum",2,3,20,16,3,1,"L",0,"HomeTeam","2008-09",1,0,0,1
"92",46,"Bundesliga","2008/2009",2008-09-27,"Leverkusen",3,2,16,20,0,0,"W",0,"AwayTeam","2008-09",0,0,0,1
"93",47,"Bundesliga","2008/2009",2008-09-27,"Dortmund",3,0,15,12,1,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"94",47,"Bundesliga","2008/2009",2008-09-27,"Stuttgart",0,3,12,15,3,0,"L",0,"AwayTeam","2008-09",0,1,0,1
"95",48,"Bundesliga","2008/2009",2008-09-27,"Hamburg",1,0,14,22,1,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"96",48,"Bundesliga","2008/2009",2008-09-27,"M'gladbach",0,1,22,14,2,0,"L",0,"AwayTeam","2008-09",0,0,0,1
"97",49,"Bundesliga","2008/2009",2008-09-27,"Hannover",1,0,27,20,0,0,"W",0,"HomeTeam","2008-09",1,0,0,1
"98",49,"Bundesliga","2008/2009",2008-09-27,"Bayern Munich",0,1,20,27,1,0,"L",0,"AwayTeam","2008-09",0,1,0,1
