"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","postVar","treated"
"67",34,"Bundesliga 2","2017/2018",2017-08-27,"Sandhausen",1,2,23,24,3,0,"L",0,"HomeTeam","2017-08",1,0,1
"68",34,"Bundesliga 2","2017/2018",2017-08-27,"Fortuna Dusseldorf",2,1,24,23,4,0,"W",0,"AwayTeam","2017-08",0,0,1
"69",35,"Bundesliga 2","2017/2018",2017-08-27,"Union Berlin",1,1,12,18,1,0,"D",0,"HomeTeam","2017-08",1,0,1
"70",35,"Bundesliga 2","2017/2018",2017-08-27,"Bielefeld",1,1,18,12,3,0,"D",0,"AwayTeam","2017-08",0,0,1
"71",36,"Bundesliga 2","2017/2018",2017-08-28,"Kaiserslautern",1,1,20,23,3,0,"D",0,"HomeTeam","2017-08",1,0,1
"72",36,"Bundesliga 2","2017/2018",2017-08-28,"Braunschweig",1,1,23,20,4,0,"D",0,"AwayTeam","2017-08",0,0,1
"73",37,"Bundesliga 2","2017/2018",2017-09-08,"Dresden",1,1,12,17,1,0,"D",0,"HomeTeam","2017-09",1,0,1
"74",37,"Bundesliga 2","2017/2018",2017-09-08,"Greuther Furth",1,1,17,12,3,0,"D",0,"AwayTeam","2017-09",0,0,1
"75",38,"Bundesliga 2","2017/2018",2017-09-08,"Heidenheim",1,3,13,15,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"76",38,"Bundesliga 2","2017/2018",2017-09-08,"Regensburg",3,1,15,13,1,0,"W",0,"AwayTeam","2017-09",0,0,1
"77",39,"Bundesliga 2","2017/2018",2017-09-09,"Bielefeld",0,4,10,10,1,0,"L",0,"HomeTeam","2017-09",1,0,1
"78",39,"Bundesliga 2","2017/2018",2017-09-09,"Duisburg",4,0,10,10,3,0,"W",0,"AwayTeam","2017-09",0,0,1
"79",40,"Bundesliga 2","2017/2018",2017-09-09,"Holstein Kiel",2,1,14,12,3,0,"W",0,"HomeTeam","2017-09",1,0,1
"80",40,"Bundesliga 2","2017/2018",2017-09-09,"Kaiserslautern",1,2,12,14,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"81",41,"Bundesliga 2","2017/2018",2017-09-09,"Ingolstadt",1,2,14,22,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"82",41,"Bundesliga 2","2017/2018",2017-09-09,"Erzgebirge Aue",2,1,22,14,3,0,"W",0,"AwayTeam","2017-09",0,0,1
"83",42,"Bundesliga 2","2017/2018",2017-09-10,"Braunschweig",1,1,17,22,2,0,"D",0,"HomeTeam","2017-09",1,0,1
"84",42,"Bundesliga 2","2017/2018",2017-09-10,"Sandhausen",1,1,22,17,1,0,"D",0,"AwayTeam","2017-09",0,0,1
"85",43,"Bundesliga 2","2017/2018",2017-09-10,"Darmstadt",1,2,16,15,1,0,"L",0,"HomeTeam","2017-09",1,0,1
"86",43,"Bundesliga 2","2017/2018",2017-09-10,"Bochum",2,1,15,16,1,0,"W",0,"AwayTeam","2017-09",0,0,1
"87",44,"Bundesliga 2","2017/2018",2017-09-10,"Fortuna Dusseldorf",3,2,16,22,2,0,"W",0,"HomeTeam","2017-09",1,0,1
"88",44,"Bundesliga 2","2017/2018",2017-09-10,"Union Berlin",2,3,22,16,3,0,"L",0,"AwayTeam","2017-09",0,0,1
"89",45,"Bundesliga 2","2017/2018",2017-09-11,"Nurnberg",0,1,10,6,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"90",45,"Bundesliga 2","2017/2018",2017-09-11,"St Pauli",1,0,6,10,2,0,"W",0,"AwayTeam","2017-09",0,0,1
"91",46,"Bundesliga 2","2017/2018",2017-09-15,"Erzgebirge Aue",0,3,10,24,3,0,"L",0,"HomeTeam","2017-09",1,0,1
"92",46,"Bundesliga 2","2017/2018",2017-09-15,"Holstein Kiel",3,0,24,10,2,0,"W",0,"AwayTeam","2017-09",0,0,1
"93",47,"Bundesliga 2","2017/2018",2017-09-15,"Union Berlin",1,1,11,9,2,0,"D",0,"HomeTeam","2017-09",1,0,1
"94",47,"Bundesliga 2","2017/2018",2017-09-15,"Braunschweig",1,1,9,11,2,0,"D",0,"AwayTeam","2017-09",0,0,1
"95",48,"Bundesliga 2","2017/2018",2017-09-16,"Duisburg",1,6,11,10,3,0,"L",0,"HomeTeam","2017-09",1,0,1
"96",48,"Bundesliga 2","2017/2018",2017-09-16,"Nurnberg",6,1,10,11,0,0,"W",0,"AwayTeam","2017-09",0,0,1
"97",49,"Bundesliga 2","2017/2018",2017-09-16,"Sandhausen",1,0,17,20,2,0,"W",0,"HomeTeam","2017-09",1,0,1
"98",49,"Bundesliga 2","2017/2018",2017-09-16,"Kaiserslautern",0,1,20,17,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"99",50,"Bundesliga 2","2017/2018",2017-09-16,"St Pauli",0,4,12,21,0,0,"L",0,"HomeTeam","2017-09",1,0,1
"100",50,"Bundesliga 2","2017/2018",2017-09-16,"Ingolstadt",4,0,21,12,5,0,"W",0,"AwayTeam","2017-09",0,0,1
"101",51,"Bundesliga 2","2017/2018",2017-09-17,"Bochum",1,2,11,17,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"102",51,"Bundesliga 2","2017/2018",2017-09-17,"Heidenheim",2,1,17,11,2,0,"W",0,"AwayTeam","2017-09",0,0,1
"103",52,"Bundesliga 2","2017/2018",2017-09-17,"Darmstadt",4,3,13,10,1,0,"W",0,"HomeTeam","2017-09",1,0,1
"104",52,"Bundesliga 2","2017/2018",2017-09-17,"Bielefeld",3,4,10,13,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"105",53,"Bundesliga 2","2017/2018",2017-09-17,"Greuther Furth",3,1,16,18,3,0,"W",0,"HomeTeam","2017-09",1,0,1
